Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,2680.0,2717.0,2661.3,2700.7,2697.6968040060387,54318,3130,146533495.0,17499.0,32.22,55.7,20.7
30-July-2018,2680.0,2699.0,2657.2,2668.95,2676.9129390284925,41626,2603,111429178.0,12459.0,29.93,41.8,-11.05
27-July-2018,2640.0,2687.95,2631.65,2678.05,2666.547450980392,56100,4015,149593312.0,14852.0,26.47,56.3,38.05
26-July-2018,2654.8,2667.3,2604.0,2619.25,2633.4988275519527,86571,6482,227984627.0,27273.0,31.5,63.3,-35.55
25-July-2018,2680.0,2698.0,2624.05,2638.8,2667.0857733754215,82683,6058,220522653.0,26650.0,32.23,73.95,-41.2
24-July-2018,2685.0,2724.0,2616.0,2650.8,2671.1343302009086,210593,15556,562522192.0,41038.0,19.49,108.0,-34.2
23-July-2018,2849.75,2854.0,2658.65,2689.1,2715.5315189156718,231369,13771,628289812.0,49651.0,21.46,195.35,-160.65
20-July-2018,3119.1,3152.45,2820.0,2841.1,2948.3248574355207,327045,19205,964234903.0,57775.0,17.67,332.45,-278.0
19-July-2018,3123.95,3142.45,3097.7,3112.8,3116.135534885363,56657,2203,176550891.0,20107.0,35.49,44.75,-11.15
18-July-2018,3103.4,3161.95,3100.0,3105.05,3124.6406208796043,136516,2720,426563439.0,95173.0,69.72,61.95,1.65
17-July-2018,3115.9,3125.95,3082.55,3095.25,3096.8097877308724,71089,2029,220149111.0,48150.0,67.73,43.4,-20.65
16-July-2018,3139.0,3165.0,3095.0,3101.75,3126.0588462619444,28464,1918,88980139.0,3368.0,11.83,70.0,-37.25
13-July-2018,3124.95,3147.9,3060.05,3134.0,3095.5670276485835,58267,2519,180369404.0,17313.0,29.71,87.85,9.05
12-July-2018,3188.0,3213.95,3075.0,3101.9,3131.1126136731523,67958,3399,212784151.0,7695.0,11.32,138.95,-86.1
11-July-2018,3098.9,3165.0,3056.6,3154.35,3139.949746175599,88053,4672,276481995.0,27537.0,31.27,108.4,55.45
10-July-2018,3042.3,3113.0,3034.35,3089.05,3084.441770482192,136460,3759,420902924.0,70542.0,51.69,78.65,46.75
9-July-2018,3060.0,3081.0,2996.45,3017.95,3030.416337981682,60595,2359,183628078.0,25472.0,42.04,84.55,-42.05
6-July-2018,2979.0,3076.0,2964.15,3023.35,3041.0965248796992,284911,5785,866441852.0,198476.0,69.66,111.85,44.35
5-July-2018,2944.0,2990.7,2913.7,2969.8,2949.418962203715,37464,2764,110497032.0,8753.0,23.36,77.0,25.8
4-July-2018,2873.0,2989.0,2859.35,2978.2,2940.384341812793,60735,3394,178584243.0,18420.0,30.33,129.65,105.2
3-July-2018,2840.05,2879.05,2839.3,2865.05,2865.828999131457,19573,1483,56092871.0,4297.0,21.95,39.75,25.0
2-July-2018,2811.0,2910.0,2811.0,2839.15,2870.5571602105547,59272,4235,170143664.0,13172.0,22.22,99.0,28.15
29-June-2018,2735.0,2827.75,2726.05,2811.15,2783.1322376048556,29326,1948,81618136.0,8375.0,28.56,101.7,76.15
28-June-2018,2792.0,2794.55,2705.0,2718.2,2744.9537810737415,19148,1802,52560375.0,6840.0,35.72,89.55,-73.8
27-June-2018,2818.0,2822.95,2750.0,2765.45,2780.4628065114357,14559,1489,40480758.0,4623.0,31.75,72.95,-52.55
26-June-2018,2804.25,2822.5,2789.05,2809.75,2808.359803577692,14255,1248,40033169.0,4606.0,32.31,33.45,5.5
25-June-2018,2835.0,2839.0,2794.9,2799.6,2809.1001100110007,50904,2493,142994432.0,33537.0,65.88,44.1,-35.4
22-June-2018,2855.0,2855.0,2808.0,2830.75,2824.131334341229,35718,1779,100872323.0,22624.0,63.34,47.0,-24.25
21-June-2018,2875.05,2875.65,2826.35,2832.95,2857.556383411066,103346,922,295317022.0,96199.0,93.08,49.3,-42.1
20-June-2018,2873.0,2879.0,2859.5,2873.3,2871.0474813754104,110338,1059,316785637.0,98403.0,89.18,19.5,0.3
19-June-2018,2892.0,2892.05,2842.0,2849.4,2852.5957576767173,54027,982,154117191.0,40895.0,75.69,50.05,-42.6
18-June-2018,2882.55,2937.0,2866.0,2901.9,2903.4957079310293,67217,3402,195164271.0,37702.0,56.09,71.0,19.35
15-June-2018,2904.0,2904.0,2854.0,2873.75,2878.0705199394242,19810,970,57014577.0,4529.0,22.86,50.0,-30.25
14-June-2018,2899.0,2910.0,2880.0,2890.2,2891.135811908631,20926,992,60499908.0,12125.0,57.94,30.0,-8.8
13-June-2018,2906.0,2935.0,2893.0,2908.3,2917.028944756864,30230,1283,88181785.0,7715.0,25.52,42.0,2.3
12-June-2018,2884.0,2912.5,2870.15,2886.95,2897.5728463983874,25794,1482,74739994.0,11473.0,44.48,42.35,2.95
11-June-2018,2894.0,2913.5,2874.0,2882.0,2897.0343559184876,27186,1422,78758776.0,11141.0,40.98,39.5,-12.0
8-June-2018,2888.0,2899.9,2868.15,2875.4,2879.0006278026904,11150,1012,32100857.0,3856.0,34.58,31.75,-12.6
7-June-2018,2908.9,2936.35,2867.0,2889.0,2900.8626708158563,36955,2519,107201380.0,7778.0,21.05,69.35,-19.9
6-June-2018,2860.9,2948.6,2835.0,2884.55,2896.851507547388,129515,3781,375185723.0,79107.0,61.08,113.6,23.65
5-June-2018,2890.0,2891.0,2837.1,2844.15,2858.649608274478,25911,1391,74070470.0,8334.0,32.16,53.9,-45.85
