Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,28575.0,28600.0,27758.75,27820.95,27992.86025998143,2154,636,60296621.0,986.0,45.78,841.25,-754.05
30-July-2018,29067.9,29067.9,28475.0,28570.35,28595.60329670329,910,311,26021999.0,158.0,17.36,592.9,-497.55
27-July-2018,28500.0,29045.0,28234.35,28963.8,28921.663736759074,4437,600,128325422.0,3539.0,79.76,810.65,463.8
26-July-2018,27526.9,28892.0,27499.65,28266.7,28236.153908464967,2469,988,69715064.0,710.0,28.76,1392.35,739.8
25-July-2018,27800.0,27926.45,27112.3,27346.2,27583.86534653465,1010,401,27859704.0,260.0,25.74,814.15,-453.8
24-July-2018,26950.0,27815.0,26870.05,27700.8,27567.941376380626,1177,485,32447467.0,506.0,42.99,944.95,750.8
23-July-2018,27800.0,27800.0,26889.5,26999.55,27029.56659388646,916,380,24759083.0,378.0,41.27,910.5,-800.45
20-July-2018,26966.45,27199.0,26802.0,27052.4,26999.998969072167,970,460,26189999.0,399.0,41.13,397.0,85.95
19-July-2018,27414.0,27414.0,26850.0,26982.0,27156.431746031743,630,253,17108552.0,247.0,39.21,564.0,-432.0
18-July-2018,27217.0,27680.0,27160.1,27262.5,27471.775202781002,863,360,23708142.0,247.0,28.62,519.9,45.5
17-July-2018,27420.0,27431.75,27001.05,27215.95,27150.18008097165,6175,885,167652362.0,5181.0,83.9,430.7,-204.05
16-July-2018,27600.0,27728.95,27051.05,27392.55,27417.62373737374,792,339,21714758.0,265.0,33.46,677.9,-207.45
13-July-2018,28130.05,28179.95,27531.4,27601.3,27633.42134831461,1424,650,39349992.0,530.0,37.22,648.55,-528.75
12-July-2018,28288.4,28288.95,27950.0,28020.35,28066.76065891472,1032,438,28964897.0,421.0,40.79,338.95,-268.05
11-July-2018,28285.0,28597.4,28088.1,28178.25,28392.565110565112,1221,564,34667322.0,567.0,46.44,509.3,-106.75
10-July-2018,27802.95,28399.0,27700.0,28280.7,28070.964155528556,1646,663,46204807.0,809.0,49.15,699.0,477.75
9-July-2018,28200.0,28200.0,27644.0,27686.6,27784.659415308717,24731,479,687142412.0,489.0,1.98,556.0,-513.4
6-July-2018,27960.0,28200.0,27455.25,27586.0,27830.919384389883,2729,1068,75950579.0,1147.0,42.03,744.75,-374.0
5-July-2018,28272.05,28317.0,27900.0,27962.1,28013.133436772685,1289,421,36108929.0,502.0,38.94,417.0,-309.95
4-July-2018,28181.0,28350.0,28059.45,28256.75,28242.5945709282,1142,367,32253043.0,528.0,46.23,290.55,75.75
3-July-2018,28235.05,28372.35,28050.0,28102.7,28184.187500000004,560,229,15783145.0,164.0,29.29,322.35,-132.35
2-July-2018,29000.0,29000.0,27900.0,28200.5,28156.007637017072,2226,755,62675273.0,905.0,40.66,1100.0,-799.5
29-June-2018,28646.35,28795.3,28425.0,28560.8,28575.851841028634,3422,461,97786565.0,2991.0,87.41,370.3,-85.55
28-June-2018,28290.0,28510.95,27736.5,28373.55,28081.12773666358,12972,1048,364268389.0,11013.0,84.9,774.45,83.55
27-June-2018,29139.0,29139.0,28289.6,28371.3,28611.812899786786,1876,780,53675761.0,709.0,37.79,849.4,-767.7
26-June-2018,29493.45,29547.15,28983.0,29090.05,29251.41881188119,1010,405,29543933.0,493.0,48.81,564.15,-403.4
25-June-2018,29303.4,29700.0,29155.05,29436.1,29447.137426900583,1026,473,30212763.0,362.0,35.28,544.95,132.7
22-June-2018,29353.1,29398.35,28905.1,29154.65,29102.473649967473,1537,789,44730502.0,645.0,41.96,493.25,-198.45
21-June-2018,30012.15,30012.15,29412.0,29492.5,29598.636239782012,734,347,21725399.0,242.0,32.97,600.15,-519.65
20-June-2018,29930.0,30153.75,29650.0,29764.05,29905.536101083035,554,260,16567667.0,146.0,26.35,503.75,-165.95
19-June-2018,29935.75,30099.95,29600.0,29962.3,29847.910189982726,579,291,17281940.0,219.0,37.82,499.95,26.55
18-June-2018,29572.25,30238.0,29432.6,30125.05,30015.071875,1600,828,48024115.0,678.0,42.38,805.4,552.8
15-June-2018,29489.35,29650.0,29289.0,29506.4,29479.463312368967,954,357,28123408.0,336.0,35.22,361.0,17.05
14-June-2018,29348.2,29559.0,29152.35,29531.55,29374.952072538854,772,266,22677463.0,185.0,23.96,406.65,183.35
13-June-2018,29400.0,29525.0,29300.0,29382.8,29459.894104873212,15657,253,461253562.0,10357.0,66.15,225.0,-17.2
12-June-2018,29700.05,29961.9,29152.35,29225.2,29458.60036496351,1644,684,48429939.0,660.0,40.15,809.55,-474.85
11-June-2018,29590.1,29787.0,29539.0,29639.85,29665.790043290042,462,211,13705595.0,78.0,16.88,248.0,49.75
8-June-2018,29548.65,29888.0,29307.9,29560.35,29460.94384707289,837,356,24658810.0,298.0,35.6,580.1,11.7
7-June-2018,30210.35,30216.3,29532.3,29667.2,29872.725113122167,884,396,26407489.0,297.0,33.6,684.0,-543.15
6-June-2018,29740.0,30020.75,29220.0,29895.5,29748.340425531915,987,412,29361612.0,261.0,26.44,800.75,155.5
5-June-2018,29429.0,29527.65,29076.3,29261.65,29263.238244514105,1595,734,46674865.0,562.0,35.24,451.35,-167.35
4-June-2018,30333.0,30333.0,29309.05,29382.2,29775.78335433007,24607,1070,732692701.0,23259.0,94.52,1023.95,-950.8
1-June-2018,30500.1,30582.5,29369.3,29788.8,29872.522808056874,3376,1844,100849637.0,751.0,22.25,1213.2,-711.3
31-May-2018,30500.0,31424.65,30150.0,30647.25,30558.44827586207,2233,780,68237015.0,684.0,30.63,1274.65,147.25
30-May-2018,30146.25,30969.05,30000.0,30239.35,30176.124361158432,587,264,17713385.0,173.0,29.47,969.05,93.1
29-May-2018,30630.0,30747.0,30312.6,30492.95,30575.834331337326,501,238,15318493.0,115.0,22.95,434.4,-137.05
28-May-2018,30222.75,30735.0,30111.3,30636.75,30634.50607287449,741,395,22700169.0,226.0,30.5,623.7,414.0
25-May-2018,29649.45,30248.7,29649.45,30103.3,29991.446078431363,1020,565,30591275.0,289.0,28.33,599.25,453.85
24-May-2018,29424.1,29724.25,29280.35,29483.35,29497.117359413198,818,429,24128642.0,237.0,28.97,443.9,59.25
23-May-2018,29730.0,29765.6,29265.7,29399.25,29455.30241545894,1035,610,30486238.0,358.0,34.59,499.9,-330.75
22-May-2018,29401.0,29971.3,29401.0,29918.0,29805.44692005242,763,399,22741556.0,233.0,30.54,570.3,517.0
21-May-2018,29986.8,30174.75,29341.0,29444.65,29811.09726443769,987,504,29423553.0,250.0,25.33,833.75,-542.15
18-May-2018,30705.25,30725.0,29772.75,30131.25,30341.40792838874,782,363,23726981.0,291.0,37.21,952.25,-574.0
17-May-2018,30591.55,30899.0,30388.05,30494.8,30650.17967599411,679,291,20811472.0,242.0,35.64,510.95,-96.75
