Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,1350.0,1370.05,1335.0,1365.0,1348.844537266265,2863072,11533,3861839027.0,2584785.0,90.28,35.05,15.0
30-July-2018,1385.0,1385.0,1350.0,1353.15,1357.53158905648,1592102,3836,2161328758.0,1530021.0,96.1,35.0,-31.85
27-July-2018,1380.0,1388.3,1370.0,1374.55,1377.446776807035,1266384,3332,1744376559.0,1202236.0,94.93,18.3,-5.45
26-July-2018,1380.0,1389.7,1369.0,1375.2,1384.2037805661905,894575,3795,1238274097.0,825824.0,92.31,20.7,-4.8
25-July-2018,1380.0,1392.1,1366.1,1383.7,1382.5098569751858,192554,6957,266207803.0,59462.0,30.88,26.0,3.7
24-July-2018,1362.0,1379.8,1356.5,1376.0,1368.7590582264204,113488,4283,155337728.0,32699.0,28.81,23.3,14.0
23-July-2018,1350.1,1368.05,1336.7,1355.75,1351.3467301197422,130280,3960,176053452.0,28699.0,22.03,31.35,5.65
20-July-2018,1321.05,1367.05,1321.05,1348.35,1352.0974048561575,816448,8815,1103917222.0,92523.0,11.33,46.0,27.3
19-July-2018,1322.4,1330.3,1310.85,1316.55,1318.6318771201763,116146,4704,153153818.0,39532.0,34.04,19.45,-5.85
18-July-2018,1340.0,1343.2,1314.35,1322.4,1323.6359540583421,184669,5154,244434528.0,61494.0,33.3,28.85,-17.6
17-July-2018,1332.7,1348.8,1313.5,1327.4,1333.1486325579301,266227,7887,354920161.0,70379.0,26.44,35.3,-5.3
16-July-2018,1325.0,1384.4,1288.35,1333.05,1345.631129283919,959431,29572,1291040220.0,178388.0,18.59,96.05,8.05
13-July-2018,1310.0,1331.35,1300.15,1309.1,1310.3608441912559,1105721,13084,1448893503.0,112035.0,10.13,31.2,-0.9
12-July-2018,1324.0,1326.7,1284.6,1294.6,1300.7684543351552,494965,14793,643834858.0,184262.0,37.23,42.1,-29.4
11-July-2018,1310.0,1341.9,1293.0,1320.35,1317.3685795756544,299143,8928,394081589.0,55946.0,18.7,48.9,10.35
10-July-2018,1305.2,1315.5,1295.0,1302.5,1305.3336696422698,136779,6252,178542234.0,47688.0,34.87,20.5,-2.7
9-July-2018,1292.55,1303.0,1279.5,1299.15,1294.259863899744,148420,4028,192094049.0,44403.0,29.92,23.5,6.6
6-July-2018,1280.0,1301.35,1269.5,1284.5,1281.987670702715,198957,6373,255060421.0,44166.0,22.2,31.85,4.5
5-July-2018,1349.8,1350.0,1268.85,1284.5,1287.5221062438084,457269,15352,588743946.0,200665.0,43.88,81.15,-65.3
4-July-2018,1353.0,1354.95,1339.7,1344.6,1345.3576104746317,65988,2287,88777458.0,18113.0,27.45,15.25,-8.4
3-July-2018,1340.0,1358.0,1333.3,1353.65,1346.7310929876942,137330,4698,184946581.0,52889.0,38.51,24.7,13.65
2-July-2018,1313.9,1341.8,1313.9,1334.45,1325.2345743317542,120951,4919,160288447.0,37593.0,31.08,27.9,20.55
29-June-2018,1295.2,1313.45,1284.0,1306.75,1297.9610615142092,118623,5715,153968035.0,43961.0,37.06,29.45,11.55
28-June-2018,1269.2,1298.2,1269.2,1288.85,1290.7509406715888,98334,3579,126924703.0,29000.0,29.49,29.0,19.65
27-June-2018,1281.15,1293.9,1264.3,1269.2,1281.287577670627,100585,3513,128878311.0,39082.0,38.85,29.6,-11.95
26-June-2018,1269.9,1283.8,1260.0,1277.85,1278.1949239501746,76989,2807,98406949.0,33739.0,43.82,23.8,7.95
25-June-2018,1250.0,1278.95,1250.0,1272.3,1271.7416146847038,145403,6131,184915046.0,73993.0,50.89,28.95,22.3
22-June-2018,1245.5,1254.0,1241.8,1246.45,1248.798627874476,39355,1338,49146470.0,12807.0,32.54,12.2,0.95
21-June-2018,1250.0,1255.8,1237.45,1246.35,1247.4209176628399,50694,1772,63236756.0,19682.0,38.83,18.35,-3.65
20-June-2018,1245.0,1252.45,1239.1,1243.35,1246.31937742626,55126,2076,68704602.0,18899.0,34.28,13.35,-1.65
19-June-2018,1266.0,1266.0,1236.0,1244.05,1246.0351035960944,104975,3251,130802535.0,31936.0,30.42,30.0,-21.95
18-June-2018,1285.0,1290.5,1262.3,1266.5,1272.9651224238153,90832,2918,115625968.0,27662.0,30.45,28.2,-18.5
15-June-2018,1238.7,1290.0,1237.0,1280.45,1269.0595575139241,194266,6833,246535124.0,80259.0,41.31,53.0,41.75
14-June-2018,1259.0,1259.0,1234.05,1238.7,1243.796084349417,149758,7717,186268414.0,59766.0,39.91,24.95,-20.3
13-June-2018,1265.0,1284.0,1261.0,1276.1,1276.4777648861452,112907,4148,144123275.0,49839.0,44.14,23.0,11.1
12-June-2018,1265.0,1270.85,1250.9,1258.4,1259.8691217404044,109216,4314,137597866.0,37078.0,33.95,19.95,-6.6
11-June-2018,1259.75,1270.0,1256.0,1263.05,1262.1443372477117,68721,1892,86735821.0,19946.0,29.02,14.0,3.3
8-June-2018,1249.9,1262.45,1245.15,1259.75,1259.267729716079,415785,3948,523584633.0,351912.0,84.64,17.3,9.85
7-June-2018,1238.0,1257.0,1237.0,1250.8,1250.931338016955,157001,5088,196397471.0,45891.0,29.23,20.0,12.8
6-June-2018,1221.2,1240.6,1220.1,1235.6,1233.2221137056438,67578,2373,83338684.0,18980.0,28.09,20.5,14.4
