Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,520.75,520.75,507.35,517.45,515.9609111148573,344062,2626,177522543.0,233599.0,67.89,13.4,-3.3
30-July-2018,527.0,528.75,511.0,513.65,513.2858052348755,1083808,3068,556303262.0,976880.0,90.13,17.75,-13.35
27-July-2018,530.0,531.05,523.4,526.1,526.6294284420936,83946,1707,44208434.0,12081.0,14.39,7.65,-3.9
26-July-2018,541.9,541.9,518.25,524.85,527.6123871744176,116330,3485,61377149.0,26732.0,22.98,23.65,-17.05
25-July-2018,551.0,551.0,535.6,540.5,540.5515705698078,59055,2328,31922273.0,9033.0,15.3,15.4,-10.5
24-July-2018,540.0,554.8,530.4,551.85,544.667724761089,119082,3436,64860122.0,16455.0,13.82,24.4,11.85
23-July-2018,564.0,564.0,524.25,540.3,537.8702432109158,180584,5449,97130760.0,22633.0,12.53,39.75,-23.7
20-July-2018,562.45,569.0,561.0,564.4,564.975352594824,36515,1018,20630075.0,3112.0,8.52,8.0,1.95
19-July-2018,568.0,575.5,561.65,563.7,566.9987931371909,30658,915,17383049.0,6402.0,20.88,13.85,-4.3
18-July-2018,575.25,577.9,560.8,568.7,570.0012512944423,46352,1008,26420698.0,7406.0,15.98,17.1,-6.55
17-July-2018,568.0,579.95,564.75,572.85,573.2475074190312,46839,1044,26850340.0,5316.0,11.35,15.2,4.85
16-July-2018,583.05,589.0,563.6,571.4,581.6414695106365,70418,1792,40958029.0,6273.0,8.91,25.4,-11.65
13-July-2018,580.05,585.05,569.0,583.0,577.8227138643068,47460,1391,27423466.0,8318.0,17.53,16.05,2.95
12-July-2018,583.0,592.05,575.35,578.4,585.5469641294839,57150,1490,33464009.0,9234.0,16.16,16.7,-4.6
11-July-2018,584.3,588.35,578.0,579.25,580.7137370652022,379113,2366,220156127.0,205630.0,54.24,10.35,-5.05
10-July-2018,595.75,595.75,583.0,585.95,588.4761902348027,197272,2858,116089875.0,8252.0,4.18,12.75,-9.8
9-July-2018,579.0,594.0,579.0,589.5,589.5614856069468,60689,1222,35779897.0,8561.0,14.11,15.0,10.5
6-July-2018,570.0,587.25,567.05,577.45,581.2393987315976,61337,1567,35651481.0,7396.0,12.06,20.2,7.45
5-July-2018,586.0,586.0,565.05,570.25,573.7159458422409,36486,893,20932600.0,4349.0,11.92,20.95,-15.75
4-July-2018,561.5,584.3,560.6,581.1,573.2684644867235,57922,1337,33204856.0,9173.0,15.84,23.7,19.6
3-July-2018,553.3,564.5,552.8,559.45,559.7172737583415,37913,1017,21220561.0,4736.0,12.49,11.7,6.15
2-July-2018,570.0,570.5,550.4,556.4,558.8413004919222,114449,2552,63958828.0,9501.0,8.3,20.1,-13.6
29-June-2018,560.0,562.1,548.5,552.3,552.8110412209841,62638,2092,34626978.0,13164.0,21.02,13.6,-7.7
28-June-2018,564.9,573.2,553.1,556.65,559.1609160107956,61877,1606,34599200.0,12483.0,20.17,20.1,-8.25
27-June-2018,581.0,584.5,560.75,568.6,576.2927642633716,38683,1325,22292733.0,9901.0,25.6,23.75,-12.4
26-June-2018,597.0,597.0,581.25,585.85,588.2249493750436,57284,1707,33695878.0,7992.0,13.95,15.75,-11.15
25-June-2018,579.5,604.0,579.5,597.4,597.7674573975436,109266,2378,65315659.0,17443.0,15.96,24.5,17.9
22-June-2018,580.5,585.15,576.95,582.6,582.2845433255269,24766,588,14420859.0,6185.0,24.97,8.2,2.1
21-June-2018,584.8,589.95,575.6,580.25,580.7923923586219,71139,2257,41316990.0,23165.0,32.56,14.35,-4.55
20-June-2018,583.05,590.0,578.45,585.15,585.271507944934,28257,921,16538017.0,7043.0,24.92,11.55,2.1
19-June-2018,594.0,598.5,583.55,590.7,588.6436699485929,57385,1010,33779317.0,14407.0,25.11,14.95,-3.3
18-June-2018,588.0,600.7,588.0,594.45,594.955915448822,70206,1413,41769475.0,14874.0,21.19,12.7,6.45
15-June-2018,584.4,591.0,577.1,581.75,584.0091265485338,31885,672,18621131.0,6425.0,20.15,13.9,-2.65
14-June-2018,576.5,587.95,568.95,584.4,576.9697784718608,34578,668,19950461.0,9059.0,26.2,19.0,7.9
